run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
control_flow_20260303_61d2,2026-03-03T08:20:27.485024,,control_flow,Rewrite the control flow of this Python code to disguise the author's style. Convert for loops to list comprehensions or vice versa. Replace if/elif chains with dictionary dispatch or match/case. Swap,aleju,check_bb_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_a596\modified_check_bb_augmentation.py,ollama/qwen3.5:9b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9157,False,aleju,1.0000,aleju,1.0000,False,0.5081,0.1477,0.0109,0.1477,0.0074,0.0500,0.1370,0.0000,0.0491,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_a596
control_flow_20260303_ea3f,2026-03-03T08:20:45.160465,,control_flow,Rewrite the control flow of this Python code to disguise the author's style. Convert for loops to list comprehensions or vice versa. Replace if/elif chains with dictionary dispatch or match/case. Swap,aleju,check_impulse_noise.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_a596\modified_check_impulse_noise.py,ollama/qwen3.5:9b,aleju,0.9938,aleju,0.9888,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8679,False,aleju,0.9990,aleju,0.9990,False,0.0168,0.0162,0.0001,0.0162,0.0015,0.0083,0.0162,0.0000,0.0052,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_a596
control_flow_20260303_7752,2026-03-03T08:21:08.244921,,control_flow,Rewrite the control flow of this Python code to disguise the author's style. Convert for loops to list comprehensions or vice versa. Replace if/elif chains with dictionary dispatch or match/case. Swap,aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_a596\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:9b,aleju,0.9155,aleju,0.9155,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8675,False,aleju,0.9998,aleju,0.9998,False,0.3099,0.1092,0.0060,0.1092,0.0128,0.1083,0.0931,0.0000,0.0373,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_a596
control_flow_20260303_3de6,2026-03-03T08:21:35.980336,,control_flow,Rewrite the control flow of this Python code to disguise the author's style. Convert for loops to list comprehensions or vice versa. Replace if/elif chains with dictionary dispatch or match/case. Swap,aleju,check_rot90.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_rot90.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_a596\modified_check_rot90.py,ollama/qwen3.5:9b,aleju,0.9988,aleju,0.9988,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8258,aleju,0.8225,False,aleju,0.9976,aleju,0.9974,False,0.0922,0.0402,0.0008,0.0402,0.0037,0.0333,0.0296,0.0000,0.0131,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_a596
control_flow_20260303_2799,2026-03-03T08:22:14.383153,,control_flow,Rewrite the control flow of this Python code to disguise the author's style. Convert for loops to list comprehensions or vice versa. Replace if/elif chains with dictionary dispatch or match/case. Swap,aleju,geometric.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\geometric.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_a596\modified_geometric.py,ollama/qwen3.5:9b,aleju,0.9902,UNKNOWN,0.5800,True,aleju,1.0000,aleju,0.9901,False,aleju,0.9075,aleju,0.4610,False,aleju,1.0000,UNKNOWN,0.5728,True,30.1959,1.3069,0.8540,1.3069,0.6093,6.5500,0.3325,0.0025,0.6912,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_control_flow_20260303_a596
control_flow_20260303_3602,2026-03-03T08:23:09.765765,,control_flow,"Target Naive Bayes and SGD Classifier evasion by manipulating TF-IDF token distributions. Apply:
1. Control flow restructuring (loops ↔ comprehensions, if-elif ↔ dict dispatch).
2. Semantic variable r",aleju,check_bb_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_6a9a\modified_check_bb_augmentation.py,ollama/qwen3.5:9b,aleju,0.9705,aleju,0.7667,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.8056,False,aleju,1.0000,aleju,1.0000,False,5.2232,0.9544,0.4554,0.9544,0.1603,0.8667,0.5801,0.0004,0.4567,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_6a9a
control_flow_20260303_c7d7,2026-03-03T08:23:29.945013,,control_flow,"Target Naive Bayes and SGD Classifier evasion by manipulating TF-IDF token distributions. Apply:
1. Control flow restructuring (loops ↔ comprehensions, if-elif ↔ dict dispatch).
2. Semantic variable r",aleju,check_impulse_noise.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_6a9a\modified_check_impulse_noise.py,ollama/qwen3.5:9b,aleju,0.9938,aleju,0.9741,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8982,False,aleju,0.9990,aleju,0.9997,False,3.4519,0.8659,0.3749,0.8659,0.1821,0.5583,0.5501,0.0003,0.4098,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_6a9a
control_flow_20260303_26f7,2026-03-03T08:23:55.349574,,control_flow,"Target Naive Bayes and SGD Classifier evasion by manipulating TF-IDF token distributions. Apply:
1. Control flow restructuring (loops ↔ comprehensions, if-elif ↔ dict dispatch).
2. Semantic variable r",aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_6a9a\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:9b,aleju,0.9155,aleju,0.9106,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8959,False,aleju,0.9998,aleju,1.0000,False,4.6230,0.8163,0.3331,0.8163,0.0891,0.8833,0.5341,0.0004,0.3644,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_6a9a
control_flow_20260303_b4d6,2026-03-03T08:24:47.355291,,control_flow,"Target Naive Bayes and SGD Classifier evasion by manipulating TF-IDF token distributions. Apply:
1. Control flow restructuring (loops ↔ comprehensions, if-elif ↔ dict dispatch).
2. Semantic variable r",aleju,check_rot90.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_rot90.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_6a9a\modified_check_rot90.py,ollama/qwen3.5:9b,aleju,0.9988,aleju,0.9790,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8258,aleju,0.8124,False,aleju,0.9976,aleju,0.9963,False,0.6053,0.1193,0.0071,0.1193,0.0447,0.1583,0.0592,0.0001,0.0472,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_6a9a
control_flow_20260303_61b6,2026-03-03T08:26:19.101289,,control_flow,"Target Naive Bayes and SGD Classifier evasion by manipulating TF-IDF token distributions. Apply:
1. Control flow restructuring (loops ↔ comprehensions, if-elif ↔ dict dispatch).
2. Semantic variable r",aleju,geometric.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\geometric.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260303_6a9a\modified_geometric.py,ollama/qwen3.5:9b,aleju,0.9902,aleju,0.6297,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9075,aleju,0.8856,False,aleju,1.0000,aleju,1.0000,False,20.3140,0.8585,0.3685,0.8585,0.2342,4.5750,0.3003,0.0017,0.4241,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260303_6a9a
