run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
formatting_20260301_ae6b,2026-03-01T17:04:20.729890,,formatting,Reformat the Python code to disrupt stylometric fingerprints while keeping it natural: 1) Convert all indentation from spaces to tabs (or vice versa). 2) Normalize line lengths to 80-100 chars by brea,microsoft,conf.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\conf.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_3c08\modified_conf.py,ollama/qwen3-coder:30b,microsoft,0.4363,UNKNOWN,0.5610,True,microsoft,0.9807,microsoft,0.9079,False,microsoft,0.6887,microsoft,0.5953,False,microsoft,0.9988,microsoft,0.9904,False,5.7220,0.4060,0.0824,0.4060,0.0752,1.6750,0.1465,0.0005,0.1649,high,100.0000,75.0000,1,25.0000,microsoft,partial_evasion,,batch=batch_formatting_20260301_3c08
formatting_20260301_1161,2026-03-01T17:10:12.686002,,formatting,Reformat the Python code to disrupt stylometric fingerprints while keeping it natural: 1) Convert all indentation from spaces to tabs (or vice versa). 2) Normalize line lengths to 80-100 chars by brea,microsoft,hello_nas.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\hello_nas.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_3c08\modified_hello_nas.py,ollama/qwen3-coder:30b,microsoft,0.8168,microsoft,0.6712,False,microsoft,1.0000,microsoft,1.0000,False,microsoft,0.8720,microsoft,0.8729,False,microsoft,1.0000,microsoft,1.0000,False,7.9402,0.5645,0.1594,0.5645,0.0763,1.8417,0.1502,0.0007,0.2361,medium,100.0000,100.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_3c08
formatting_20260301_99d8,2026-03-01T17:10:30.144393,,formatting,Reformat the Python code to disrupt stylometric fingerprints while keeping it natural: 1) Convert all indentation from spaces to tabs (or vice versa). 2) Normalize line lengths to 80-100 chars by brea,microsoft,imagenet.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\imagenet.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_3c08\modified_imagenet.py,ollama/qwen3-coder:30b,microsoft,0.8842,microsoft,0.7493,False,microsoft,0.9964,microsoft,0.9988,False,microsoft,0.8162,microsoft,0.8193,False,microsoft,0.9997,microsoft,0.9993,False,1.7803,0.3314,0.0549,0.3314,0.0663,0.4083,0.1784,0.0001,0.1300,high,100.0000,100.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_3c08
formatting_20260301_3ef2,2026-03-01T17:11:02.513936,,formatting,Reformat the Python code to disrupt stylometric fingerprints while keeping it natural: 1) Convert all indentation from spaces to tabs (or vice versa). 2) Normalize line lengths to 80-100 chars by brea,microsoft,retrain3.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\retrain3.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_3c08\modified_retrain3.py,ollama/qwen3-coder:30b,microsoft,0.9384,microsoft,0.9197,False,microsoft,1.0000,microsoft,1.0000,False,microsoft,0.8543,microsoft,0.8534,False,microsoft,1.0000,microsoft,0.9999,False,0.1713,0.0521,0.0014,0.0521,0.0055,0.0750,0.0209,0.0000,0.0173,high,100.0000,100.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_3c08
formatting_20260301_8eb1,2026-03-01T17:11:17.505369,,formatting,Reformat the Python code to disrupt stylometric fingerprints while keeping it natural: 1) Convert all indentation from spaces to tabs (or vice versa). 2) Normalize line lengths to 80-100 chars by brea,microsoft,sklearn_test.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\sklearn_test.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_3c08\modified_sklearn_test.py,ollama/qwen3-coder:30b,microsoft,0.8268,microsoft,0.8318,False,Trusted-AI,0.9944,Trusted-AI,0.9970,False,microsoft,0.5913,microsoft,0.5642,False,microsoft,0.9991,microsoft,0.9991,False,0.4635,0.0770,0.0030,0.0770,0.0004,0.0417,0.0490,0.0000,0.0242,high,75.0000,75.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_3c08
formatting_20260301_dbb6,2026-03-01T17:12:08.824683,,formatting,Reformat code to evade authorship attribution by: 1) Renaming 60% of variables and functions using camelCase/snake_case alternation (targeting TF-IDF features). 2) Restructuring 30% of control flow bl,microsoft,conf.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\conf.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_bf41\modified_conf.py,ollama/qwen3-coder:30b,microsoft,0.4363,UNKNOWN,0.5338,True,microsoft,0.9807,microsoft,0.8967,False,microsoft,0.6887,microsoft,0.5654,False,microsoft,0.9988,microsoft,0.9867,False,5.8373,0.4259,0.0907,0.4259,0.0758,1.6750,0.1563,0.0005,0.1735,high,100.0000,75.0000,1,25.0000,microsoft,partial_evasion,,batch=batch_formatting_20260301_bf41
formatting_20260301_a454,2026-03-01T17:12:57.818882,,formatting,Reformat code to evade authorship attribution by: 1) Renaming 60% of variables and functions using camelCase/snake_case alternation (targeting TF-IDF features). 2) Restructuring 30% of control flow bl,microsoft,hello_nas.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\hello_nas.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_bf41\modified_hello_nas.py,ollama/qwen3-coder:30b,microsoft,0.8168,microsoft,0.7148,False,microsoft,1.0000,microsoft,1.0000,False,microsoft,0.8720,microsoft,0.8788,False,microsoft,1.0000,microsoft,1.0000,False,7.2666,0.4526,0.1024,0.4526,0.0497,1.8083,0.1399,0.0006,0.1800,high,100.0000,100.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_bf41
formatting_20260301_0fdc,2026-03-01T17:13:16.559807,,formatting,Reformat code to evade authorship attribution by: 1) Renaming 60% of variables and functions using camelCase/snake_case alternation (targeting TF-IDF features). 2) Restructuring 30% of control flow bl,microsoft,imagenet.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\imagenet.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_bf41\modified_imagenet.py,ollama/qwen3-coder:30b,microsoft,0.8842,microsoft,0.8699,False,microsoft,0.9964,microsoft,0.9873,False,microsoft,0.8162,microsoft,0.7739,False,microsoft,0.9997,microsoft,0.9996,False,2.6313,0.6943,0.2410,0.6943,0.0891,0.2833,0.4171,0.0002,0.2990,medium,100.0000,100.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_bf41
formatting_20260301_5bf4,2026-03-01T17:14:04.467946,,formatting,Reformat code to evade authorship attribution by: 1) Renaming 60% of variables and functions using camelCase/snake_case alternation (targeting TF-IDF features). 2) Restructuring 30% of control flow bl,microsoft,sklearn_test.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\sklearn_test.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_bf41\modified_sklearn_test.py,ollama/qwen3-coder:30b,microsoft,0.8268,microsoft,0.7518,False,Trusted-AI,0.9944,Trusted-AI,0.9997,False,microsoft,0.5913,microsoft,0.5498,False,microsoft,0.9991,microsoft,0.9987,False,1.7104,0.3264,0.0533,0.3264,0.0230,0.2000,0.1401,0.0001,0.1189,high,75.0000,75.0000,0,0.0000,microsoft,failed,,batch=batch_formatting_20260301_bf41
formatting_20260301_a405,2026-03-01T17:14:43.900961,,formatting,Reformat code to evade authorship attribution by: 1) Renaming 80% of variables/functions with contextual camelCase/snake_case alternation (targeting TF-IDF and stylometric features). 2) Restructuring ,microsoft,conf.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\microsoft\testing\conf.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260301_7252\modified_conf.py,ollama/qwen3-coder:30b,microsoft,0.4363,UNKNOWN,0.5417,True,microsoft,0.9807,microsoft,0.8474,False,microsoft,0.6887,microsoft,0.6120,False,microsoft,0.9988,microsoft,0.9781,False,7.3688,0.6693,0.2240,0.6693,0.0865,1.9333,0.3356,0.0006,0.2891,medium,100.0000,75.0000,1,25.0000,microsoft,partial_evasion,,batch=batch_formatting_20260301_7252
