run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
renaming_20260423_9424,2026-04-23T19:18:14.325132,,renaming,"Rename all variables, functions, parameters, and classes in this Python file to generic alternatives. Use common neutral names like data, result, value, item, process and avoid author-specific pattern",aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_221b\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.9449,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.8726,False,aleju,1.0000,aleju,1.0000,False,4.8736,0.9423,0.4440,0.9423,0.1437,0.8333,0.6334,0.0004,0.4463,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_221b
renaming_20260423_a1b9,2026-04-23T19:22:58.019842,,renaming,"Rename all variables, functions, parameters, and classes in this Python file to generic alternatives. Use common neutral names like data, result, value, item, process and avoid author-specific pattern",aleju,check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_221b\modified_check_jpeg_compression.py,ollama/qwen3.5:4b,aleju,0.9988,aleju,0.9741,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9228,aleju,0.9050,False,aleju,1.0000,aleju,0.9999,False,1.8970,0.3654,0.0667,0.3654,0.1031,0.2167,0.1340,0.0002,0.1507,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_221b
renaming_20260423_1f4a,2026-04-23T19:23:34.157595,,renaming,"Rename all variables, functions, parameters, and classes in this Python file to generic alternatives. Use common neutral names like data, result, value, item, process and avoid author-specific pattern",aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_221b\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:4b,aleju,0.9155,aleju,0.9107,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8710,False,aleju,0.9997,aleju,0.9998,False,2.3060,0.6199,0.1921,0.6199,0.0704,0.2250,0.5341,0.0002,0.2581,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_221b
renaming_20260423_f949,2026-04-23T19:24:04.040510,,renaming,"Rename all variables, functions, parameters, and classes in this Python file to generic alternatives. Use common neutral names like data, result, value, item, process and avoid author-specific pattern",aleju,kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_221b\modified_kps.py,ollama/qwen3.5:4b,aleju,0.9487,UNKNOWN,0.6056,True,aleju,1.0000,aleju,0.9982,False,aleju,0.8514,UNKNOWN,0.5461,True,aleju,1.0000,aleju,0.8021,False,17.0458,1.1961,0.7153,1.1961,0.5627,3.2667,0.3848,0.0014,0.6337,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_renaming_20260423_221b
renaming_20260423_d0a4,2026-04-23T19:30:58.953374,,renaming,"Prioritize renaming variables, functions, and classes using aggressive naming conventions to disrupt token recognition patterns. Apply varied casing styles and identifier changes to classes and functi",aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_bae8\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.6328,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.8025,False,aleju,1.0000,aleju,0.9993,False,3.6333,0.6942,0.2410,0.6942,0.1554,0.3417,0.3867,0.0003,0.3123,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_bae8
renaming_20260423_0f92,2026-04-23T19:31:35.522922,,renaming,"Prioritize renaming variables, functions, and classes using aggressive naming conventions to disrupt token recognition patterns. Apply varied casing styles and identifier changes to classes and functi",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_bae8\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.5050,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7686,False,aleju,0.9979,aleju,0.9963,False,0.3351,0.0617,0.0019,0.0617,0.0222,0.1167,0.0237,0.0000,0.0237,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_bae8
renaming_20260423_97b9,2026-04-23T19:31:59.295372,,renaming,"Prioritize renaming variables, functions, and classes using aggressive naming conventions to disrupt token recognition patterns. Apply varied casing styles and identifier changes to classes and functi",aleju,check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_bae8\modified_check_jpeg_compression.py,ollama/qwen3.5:4b,aleju,0.9988,aleju,0.5681,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9228,aleju,0.8913,False,aleju,1.0000,aleju,0.9998,False,5.9484,1.1601,0.6729,1.1601,0.2952,0.8250,0.6198,0.0005,0.5626,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_bae8
renaming_20260423_8c89,2026-04-23T19:32:22.023647,,renaming,"Prioritize renaming variables, functions, and classes using aggressive naming conventions to disrupt token recognition patterns. Apply varied casing styles and identifier changes to classes and functi",aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_bae8\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:4b,aleju,0.9155,aleju,0.6029,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8055,False,aleju,0.9997,aleju,0.9996,False,5.6678,0.8424,0.3549,0.8424,0.1533,0.9167,0.4327,0.0005,0.3917,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_bae8
renaming_20260423_a62e,2026-04-23T19:33:28.499529,,renaming,"Prioritize renaming variables, functions, and classes using aggressive naming conventions to disrupt token recognition patterns. Apply varied casing styles and identifier changes to classes and functi",aleju,kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_bae8\modified_kps.py,ollama/qwen3.5:4b,aleju,0.9487,UNKNOWN,0.6626,True,aleju,1.0000,aleju,0.9921,False,aleju,0.8514,UNKNOWN,0.4347,True,aleju,1.0000,aleju,0.8073,False,17.4508,0.9351,0.4372,0.9351,0.4139,4.0000,0.2696,0.0015,0.5025,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_renaming_20260423_bae8
renaming_20260423_0c3f,2026-04-23T19:35:08.244853,,renaming,Prioritize renaming frequently occurring variables and functions using distinct prefixes and mixed casing styles to disrupt the high-frequency TF-IDF token patterns. Target identifiers located within ,aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260423_930e\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.9461,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.9113,False,aleju,1.0000,aleju,1.0000,False,5.7048,0.8435,0.3557,0.8435,0.1006,0.9833,0.6334,0.0005,0.3818,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260423_930e
