run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
restructuring_20260423_3179,2026-04-23T17:24:13.054652,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_piecewise_affine.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_piecewise_affine.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_f857\modified_check_piecewise_affine.py,ollama/qwen3.5:4b,aleju,0.9951,aleju,0.9951,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9264,aleju,0.9169,False,aleju,1.0000,aleju,1.0000,False,2.1810,0.2699,0.0364,0.2699,0.0099,0.4667,0.1544,0.0002,0.0948,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_f857
restructuring_20260423_b5d7,2026-04-23T17:24:35.977817,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_f857\modified_kps.py,ollama/qwen3.5:4b,aleju,0.9487,UNKNOWN,0.6078,True,aleju,1.0000,aleju,0.9989,False,aleju,0.8514,UNKNOWN,0.4284,True,aleju,1.0000,aleju,0.9134,False,15.6354,1.1502,0.6614,1.1502,0.5651,3.2000,0.7267,0.0013,0.6178,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_restructuring_20260423_f857
restructuring_20260423_aaf6,2026-04-23T17:27:09.797655,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_fdae\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.9658,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.9165,False,aleju,1.0000,aleju,1.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_fdae
restructuring_20260423_6b84,2026-04-23T17:27:45.513226,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_fdae\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.8817,False,aleju,1.0000,aleju,0.9999,False,3.3001,0.4754,0.1130,0.4754,0.0490,0.8833,0.2256,0.0003,0.1881,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_fdae
restructuring_20260423_7161,2026-04-23T17:28:24.525564,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_fdae\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8617,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.8008,False,aleju,0.9979,aleju,0.9978,False,0.2513,0.0541,0.0015,0.0541,0.0148,0.0917,0.0231,0.0000,0.0198,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_fdae
restructuring_20260423_02c5,2026-04-23T17:28:56.531753,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_piecewise_affine.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_piecewise_affine.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_fdae\modified_check_piecewise_affine.py,ollama/qwen3.5:4b,aleju,0.9951,aleju,0.9951,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9264,aleju,0.9265,False,aleju,1.0000,aleju,1.0000,False,0.0717,0.0506,0.0013,0.0506,0.0026,0.0167,0.0359,0.0000,0.0161,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_fdae
restructuring_20260423_5180,2026-04-23T17:29:22.625085,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_fdae\modified_kps.py,ollama/qwen3.5:4b,aleju,0.9487,UNKNOWN,0.6481,True,aleju,1.0000,aleju,1.0000,False,aleju,0.8514,aleju,0.7185,False,aleju,1.0000,aleju,0.9753,False,16.2449,1.1578,0.6703,1.1578,0.5569,3.1833,0.4006,0.0014,0.6188,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_restructuring_20260423_fdae
restructuring_20260423_42b6,2026-04-23T17:36:39.647695,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_5ef3\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9656,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.8963,False,aleju,1.0000,aleju,1.0000,False,2.5237,0.3682,0.0678,0.3682,0.0410,0.7417,0.1731,0.0002,0.1405,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_5ef3
restructuring_20260423_add1,2026-04-23T17:37:17.468904,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_5ef3\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8812,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7978,False,aleju,0.9979,aleju,0.9978,False,0.0140,0.0091,0.0000,0.0091,0.0009,0.0000,0.0064,0.0000,0.0029,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_5ef3
restructuring_20260423_596e,2026-04-23T17:37:43.989106,,restructuring,"Restructure this Python code to disguise the author's style. Extract inline logic into helper functions, reorder statements, and split or merge functions. Do NOT rename variables, change comments, alt",aleju,check_piecewise_affine.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_piecewise_affine.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_restructuring_20260423_5ef3\modified_check_piecewise_affine.py,ollama/qwen3.5:4b,aleju,0.9951,aleju,0.9951,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9264,aleju,0.9265,False,aleju,1.0000,aleju,1.0000,False,0.0717,0.0506,0.0013,0.0506,0.0026,0.0167,0.0359,0.0000,0.0161,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_restructuring_20260423_5ef3
