run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
comments_20260423_0bb4,2026-04-23T14:50:11.691898,,comments,"Rewrite the comments and docstrings in this Python file to disguise the author's style. Add, remove, or rewrite inline comments, block comments, and docstrings — changing density, tone, and style. Do ",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_0a5a\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.6753,True,aleju,1.0000,UNKNOWN,0.6363,True,aleju,0.8419,UNKNOWN,0.2282,True,aleju,1.0000,UNKNOWN,0.3520,True,17.6618,1.2957,0.8394,1.2957,0.6305,3.4583,0.5146,0.0015,0.6848,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_comments_20260423_0a5a
comments_20260423_bd6c,2026-04-23T14:50:26.191856,,comments,"Rewrite the comments and docstrings in this Python file to disguise the author's style. Add, remove, or rewrite inline comments, block comments, and docstrings — changing density, tone, and style. Do ",aleju,check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_0a5a\modified_check_impulse_noise.py,ollama/qwen3.5:4b,aleju,0.9938,aleju,0.9788,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8725,False,aleju,0.9992,aleju,0.9994,False,1.1060,0.1749,0.0153,0.1749,0.0798,0.3333,0.0837,0.0001,0.0737,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_0a5a
comments_20260423_ff7b,2026-04-23T14:54:36.434684,,comments,"Focus your modifications on rewriting inline comments, docstrings, and block comments to create varied token patterns while maintaining code functionality. Strictly avoid renaming variables, restructu",aleju,arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4e13\modified_arithmetic.py,ollama/qwen3.5:4b,aleju,0.9803,UNKNOWN,0.6592,True,aleju,1.0000,aleju,0.9945,False,aleju,0.9121,aleju,0.7514,False,aleju,1.0000,aleju,0.9445,False,25.7523,1.3563,0.9198,1.3563,0.6667,5.6167,0.4808,0.0021,0.7205,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_comments_20260423_4e13
comments_20260423_47a7,2026-04-23T14:57:33.822284,,comments,"Focus your modifications on rewriting inline comments, docstrings, and block comments to create varied token patterns while maintaining code functionality. Strictly avoid renaming variables, restructu",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4e13\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.7445,True,aleju,1.0000,aleju,0.9878,False,aleju,0.8419,UNKNOWN,0.4637,True,aleju,1.0000,aleju,0.8175,False,17.3962,1.2809,0.8203,1.2809,0.6124,3.4500,0.5531,0.0014,0.6755,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_comments_20260423_4e13
comments_20260423_97ec,2026-04-23T14:58:04.395613,,comments,"Focus your modifications on rewriting inline comments, docstrings, and block comments to create varied token patterns while maintaining code functionality. Strictly avoid renaming variables, restructu",aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4e13\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:4b,aleju,0.9952,aleju,0.9902,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9268,aleju,0.9219,False,aleju,1.0000,aleju,1.0000,False,2.5683,0.4424,0.0979,0.4424,0.0838,0.4417,0.2084,0.0002,0.1797,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_4e13
comments_20260423_051f,2026-04-23T14:58:34.816666,,comments,"Focus your modifications on rewriting inline comments, docstrings, and block comments to create varied token patterns while maintaining code functionality. Strictly avoid renaming variables, restructu",aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4e13\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:4b,aleju,0.9155,aleju,0.9155,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8651,False,aleju,0.9997,aleju,0.9996,False,0.6507,0.1498,0.0112,0.1498,0.0250,0.1167,0.0554,0.0001,0.0535,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_4e13
comments_20260423_5eb0,2026-04-23T15:00:17.814848,,comments,"Focus on the textual content of comments to disrupt detection without altering code structure. Aggressively vary the density and length of docstrings, inline, and block comments to create unique patte",aleju,arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_56e0\modified_arithmetic.py,ollama/qwen3.5:4b,aleju,0.9803,aleju,0.5446,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9121,aleju,0.8859,False,aleju,1.0000,aleju,0.9985,False,25.2419,1.2816,0.8213,1.2816,0.6169,5.5750,0.4243,0.0021,0.6809,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_56e0
comments_20260423_9e15,2026-04-23T15:00:35.602171,,comments,"Focus on the textual content of comments to disrupt detection without altering code structure. Aggressively vary the density and length of docstrings, inline, and block comments to create unique patte",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_56e0\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.6746,True,aleju,1.0000,aleju,0.9935,False,aleju,0.8419,UNKNOWN,0.4042,True,aleju,1.0000,UNKNOWN,0.3738,True,18.1070,0.9713,0.4717,0.9713,0.4794,4.0750,0.2788,0.0015,0.5369,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_comments_20260423_56e0
comments_20260423_a621,2026-04-23T15:00:49.189704,,comments,"Focus on the textual content of comments to disrupt detection without altering code structure. Aggressively vary the density and length of docstrings, inline, and block comments to create unique patte",aleju,check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_56e0\modified_check_impulse_noise.py,ollama/qwen3.5:4b,aleju,0.9938,aleju,0.9789,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8742,False,aleju,0.9992,aleju,0.9993,False,0.8902,0.1908,0.0182,0.1908,0.0685,0.2667,0.1395,0.0001,0.0769,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_56e0
comments_20260423_6ccb,2026-04-23T15:02:02.773248,,comments,"Focus on the textual content of comments to disrupt detection without altering code structure. Aggressively vary the density and length of docstrings, inline, and block comments to create unique patte",aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_56e0\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:4b,aleju,0.9952,aleju,0.9211,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9268,aleju,0.8466,False,aleju,1.0000,aleju,0.9996,False,11.1234,1.1129,0.6193,1.1129,0.4060,1.3833,0.3468,0.0009,0.5698,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_56e0
comments_20260423_4513,2026-04-23T15:02:23.770793,,comments,"Focus on the textual content of comments to disrupt detection without altering code structure. Aggressively vary the density and length of docstrings, inline, and block comments to create unique patte",aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_56e0\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:4b,aleju,0.9155,aleju,0.9114,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8600,False,aleju,0.9997,aleju,0.9995,False,3.5354,0.5289,0.1399,0.5289,0.1114,0.6083,0.3501,0.0003,0.2241,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_56e0
comments_20260423_f9b3,2026-04-23T15:04:24.158903,,comments,"Aggressively vary comment text content to disrupt authorship features by shifting phrasing, vocabulary, and length across inline, block, and docstring styles. Modify comment structures to maximize tok",aleju,arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4457\modified_arithmetic.py,ollama/qwen3.5:4b,aleju,0.9803,aleju,0.5442,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9121,aleju,0.8850,False,aleju,1.0000,aleju,0.9984,False,26.0884,1.2885,0.8301,1.2885,0.6131,5.6167,0.3809,0.0022,0.6829,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_4457
comments_20260423_ea82,2026-04-23T15:04:57.271663,,comments,"Aggressively vary comment text content to disrupt authorship features by shifting phrasing, vocabulary, and length across inline, block, and docstring styles. Modify comment structures to maximize tok",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4457\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.7455,True,aleju,1.0000,UNKNOWN,0.5742,True,aleju,0.8419,UNKNOWN,0.1898,True,aleju,1.0000,UNKNOWN,0.2494,True,16.4622,1.2215,0.7460,1.2215,0.6159,3.4417,0.6553,0.0014,0.6539,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_comments_20260423_4457
comments_20260423_983d,2026-04-23T15:05:56.149816,,comments,"Aggressively vary comment text content to disrupt authorship features by shifting phrasing, vocabulary, and length across inline, block, and docstring styles. Modify comment structures to maximize tok",aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_4457\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:4b,aleju,0.9155,aleju,0.9055,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8694,False,aleju,0.9997,aleju,0.9997,False,0.7610,0.1716,0.0147,0.1716,0.0320,0.1417,0.0630,0.0001,0.0626,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_4457
comments_20260423_84f7,2026-04-23T15:07:38.967651,,comments,Focus on varying the text density and vocabulary within inline and block comments to create unique content without significantly altering comment counts or line lengths. Ensure all changes remain func,aleju,arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_5948\modified_arithmetic.py,ollama/qwen3.5:4b,aleju,0.9803,aleju,0.5448,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9121,aleju,0.8898,False,aleju,1.0000,aleju,0.9994,False,25.7783,1.2865,0.8275,1.2865,0.6273,5.5750,0.3648,0.0021,0.6849,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_5948
comments_20260423_f884,2026-04-23T15:08:00.998230,,comments,Focus on varying the text density and vocabulary within inline and block comments to create unique content without significantly altering comment counts or line lengths. Ensure all changes remain func,aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_5948\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.4970,True,aleju,1.0000,aleju,1.0000,False,aleju,0.8419,aleju,0.8253,False,aleju,1.0000,aleju,0.9987,False,18.4679,1.1668,0.6807,1.1668,0.5560,3.5833,0.2728,0.0015,0.6226,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_comments_20260423_5948
comments_20260423_adbb,2026-04-23T15:16:30.325767,,comments,Focus on varying the text density and vocabulary within inline and block comments to create unique content without significantly altering comment counts or line lengths. Ensure all changes remain func,aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_comments_20260423_5948\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:4b,aleju,0.9952,aleju,0.9410,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9268,aleju,0.9379,False,aleju,1.0000,aleju,1.0000,False,6.5802,0.8911,0.3970,0.8911,0.2001,0.8167,0.3323,0.0005,0.4281,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_comments_20260423_5948
