run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
dead_code_20260423_a114,2026-04-23T23:52:37.831387,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused imports, unused local variables with short names, and unreachable blocks after return statements. Do NOT rename, refor",aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_cd9a\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9105,False,aleju,1.0000,aleju,1.0000,False,0.1062,0.0455,0.0010,0.0455,0.0009,0.0167,0.0421,0.0000,0.0142,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_cd9a
dead_code_20260423_d1ed,2026-04-23T23:53:04.397106,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused imports, unused local variables with short names, and unreachable blocks after return statements. Do NOT rename, refor",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_cd9a\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8763,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7976,False,aleju,0.9979,aleju,0.9979,False,0.0673,0.0196,0.0002,0.0196,0.0042,0.0000,0.0097,0.0000,0.0068,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_cd9a
dead_code_20260423_a090,2026-04-23T23:53:23.359045,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused imports, unused local variables with short names, and unreachable blocks after return statements. Do NOT rename, refor",aleju,check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_cd9a\modified_check_jpeg_compression.py,ollama/qwen3.5:4b,aleju,0.9988,aleju,0.9939,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9228,aleju,0.9212,False,aleju,1.0000,aleju,1.0000,False,0.5606,0.1624,0.0132,0.1624,0.0307,0.1083,0.0700,0.0000,0.0590,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_cd9a
dead_code_20260423_8431,2026-04-23T23:53:59.373731,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused imports, unused local variables with short names, and unreachable blocks after return statements. Do NOT rename, refor",aleju,dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_cd9a\modified_dtypes.py,ollama/qwen3.5:4b,aleju,0.8059,aleju,0.4996,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8153,aleju,0.8664,False,aleju,0.9998,aleju,0.9991,False,13.2087,1.3105,0.8587,1.3105,0.6098,1.9833,0.5626,0.0011,0.6835,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_cd9a
dead_code_20260423_b150,2026-04-23T23:55:35.131589,,dead_code,Inject nested conditional branches and unreachable exception handlers to obscure token distributions and introduce syntactic complexity. These patterns create variable usage noise that affects feature,aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_8539\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.9609,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.9055,False,aleju,1.0000,aleju,1.0000,False,2.8031,0.4177,0.0873,0.4177,0.0902,0.4083,0.1923,0.0002,0.1704,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_8539
dead_code_20260423_e1fe,2026-04-23T23:56:20.573643,,dead_code,Inject nested conditional branches and unreachable exception handlers to obscure token distributions and introduce syntactic complexity. These patterns create variable usage noise that affects feature,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_8539\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9507,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.8071,False,aleju,1.0000,aleju,0.9996,False,5.4705,0.8543,0.3649,0.8543,0.1421,1.0417,0.5253,0.0005,0.3963,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_8539
dead_code_20260423_1e87,2026-04-23T23:57:04.044457,,dead_code,Inject nested conditional branches and unreachable exception handlers to obscure token distributions and introduce syntactic complexity. These patterns create variable usage noise that affects feature,aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_8539\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8614,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7990,False,aleju,0.9979,aleju,0.9984,False,0.5729,0.1042,0.0054,0.1042,0.0316,0.1000,0.0640,0.0000,0.0394,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_8539
dead_code_20260423_3863,2026-04-23T23:59:05.262964,,dead_code,Inject nested conditional branches and unreachable exception handlers to obscure token distributions and introduce syntactic complexity. These patterns create variable usage noise that affects feature,aleju,check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_jpeg_compression.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_8539\modified_check_jpeg_compression.py,ollama/qwen3.5:4b,aleju,0.9988,aleju,0.9950,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9228,aleju,0.9194,False,aleju,1.0000,aleju,1.0000,False,5.5874,0.9373,0.4392,0.9373,0.1770,0.8417,0.6157,0.0005,0.4500,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260423_8539
dead_code_20260423_56bf,2026-04-24T00:00:01.620413,,dead_code,Inject nested conditional branches and unreachable exception handlers to obscure token distributions and introduce syntactic complexity. These patterns create variable usage noise that affects feature,aleju,dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260423_8539\modified_dtypes.py,ollama/qwen3.5:4b,aleju,0.8059,UNKNOWN,0.6417,True,aleju,1.0000,aleju,0.7905,False,aleju,0.8153,UNKNOWN,0.4825,True,aleju,0.9998,UNKNOWN,0.6576,True,16.0851,1.1242,0.6319,1.1242,0.4626,2.7417,0.4512,0.0013,0.5876,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_dead_code_20260423_8539
dead_code_20260424_4b69,2026-04-24T00:07:50.133065,,dead_code,Inject nested conditional branches and unreachable exception handlers to obscure token distributions and introduce syntactic complexity. These patterns create variable usage noise that affects feature,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260424_a9d1\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9606,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.8391,False,aleju,1.0000,aleju,0.9998,False,5.2494,0.7220,0.2607,0.7220,0.1400,1.0167,0.2793,0.0004,0.3248,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260424_a9d1
