run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
control_flow_20260423_f069,2026-04-23T12:54:52.676372,,control_flow,"Rewrite the control flow of this Python file to disguise the author's style. Convert loops to comprehensions or vice versa, replace if/elif chains with dict dispatch, and swap ternary expressions for ",aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_362f\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9095,False,aleju,1.0000,aleju,1.0000,False,0.3021,0.0506,0.0013,0.0506,0.0003,0.0250,0.0359,0.0000,0.0157,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260423_362f
control_flow_20260423_c02f,2026-04-23T12:57:21.465974,,control_flow,"Rewrite the control flow of this Python file to disguise the author's style. Convert loops to comprehensions or vice versa, replace if/elif chains with dict dispatch, and swap ternary expressions for ",aleju,convolutional.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\convolutional.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_362f\modified_convolutional.py,ollama/qwen3.5:4b,aleju,0.9950,UNKNOWN,0.7576,True,aleju,1.0000,UNKNOWN,0.8049,True,aleju,0.9059,UNKNOWN,0.5934,True,aleju,1.0000,UNKNOWN,0.8693,True,21.7337,1.3566,0.9202,1.3566,0.6688,4.3917,0.6451,0.0018,0.7186,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_control_flow_20260423_362f
control_flow_20260423_6506,2026-04-23T13:00:04.734025,,control_flow,"Rewrite the control flow of this Python file to disguise the author's style. Convert loops to comprehensions or vice versa, replace if/elif chains with dict dispatch, and swap ternary expressions for ",aleju,poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_362f\modified_poly_point_isect_py2py3.py,ollama/qwen3.5:4b,UNKNOWN,0.7294,UNKNOWN,0.7566,False,UNKNOWN,0.4881,UNKNOWN,0.6555,False,UNKNOWN,0.6334,UNKNOWN,0.3604,False,aleju,0.9987,UNKNOWN,0.4169,True,10.4263,1.3184,0.8691,1.3184,0.6107,1.3667,0.8275,0.0009,0.6856,low,25.0000,0.0000,1,25.0000,UNKNOWN,original_unknown,,batch=batch_control_flow_20260423_362f
control_flow_20260423_65e1,2026-04-23T13:03:14.704570,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_ec86\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9098,False,aleju,1.0000,aleju,1.0000,False,0.2947,0.0490,0.0012,0.0490,0.0009,0.0250,0.0362,0.0000,0.0153,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260423_ec86
control_flow_20260423_1e9f,2026-04-23T13:04:09.438018,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_polygons_stay_valid_during_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_ec86\modified_check_polygons_stay_valid_during_augmentation.py,ollama/qwen3.5:4b,aleju,0.9155,aleju,0.9155,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8695,aleju,0.8493,False,aleju,0.9997,aleju,0.9993,False,1.2573,0.2145,0.0230,0.2145,0.0158,0.1917,0.1152,0.0001,0.0748,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260423_ec86
control_flow_20260423_0d93,2026-04-23T13:04:41.751463,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,convolutional.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\convolutional.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_ec86\modified_convolutional.py,ollama/qwen3.5:4b,aleju,0.9950,UNKNOWN,0.7455,True,aleju,1.0000,UNKNOWN,0.4675,True,aleju,0.9059,UNKNOWN,0.2101,True,aleju,1.0000,UNKNOWN,0.3607,True,21.8362,1.3724,0.9418,1.3724,0.6707,4.3917,0.7376,0.0018,0.7254,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_control_flow_20260423_ec86
control_flow_20260423_0ed3,2026-04-23T13:13:18.144283,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_ec86\modified_poly_point_isect_py2py3.py,ollama/qwen3.5:4b,UNKNOWN,0.7294,UNKNOWN,0.7726,False,UNKNOWN,0.4881,UNKNOWN,0.7863,False,UNKNOWN,0.6334,UNKNOWN,0.3917,False,aleju,0.9987,UNKNOWN,0.6013,True,11.6484,1.3074,0.8547,1.3074,0.5820,1.4167,0.4355,0.0010,0.6756,low,25.0000,0.0000,1,25.0000,UNKNOWN,original_unknown,,batch=batch_control_flow_20260423_ec86
control_flow_20260423_8dc2,2026-04-23T13:15:51.813606,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_542f\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9133,False,aleju,1.0000,aleju,1.0000,False,0.9797,0.1928,0.0186,0.1928,0.0144,0.1500,0.0928,0.0001,0.0666,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_control_flow_20260423_542f
control_flow_20260423_8525,2026-04-23T13:19:45.135034,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,convolutional.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\convolutional.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_542f\modified_convolutional.py,ollama/qwen3.5:4b,aleju,0.9950,UNKNOWN,0.7455,True,aleju,1.0000,UNKNOWN,0.8354,True,aleju,0.9059,UNKNOWN,0.3069,True,aleju,1.0000,UNKNOWN,0.5349,True,21.9348,1.4130,0.9983,1.4130,0.6925,4.4167,0.5988,0.0018,0.7468,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_control_flow_20260423_542f
control_flow_20260423_6799,2026-04-23T13:20:11.600177,,control_flow,Invert boolean conditions in critical logical operators to alter token sequences and change keyword usage. Replace simple if-else blocks with deeply nested conditionals and convert standard for loops ,aleju,kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_control_flow_20260423_542f\modified_kps.py,ollama/qwen3.5:4b,aleju,0.9487,UNKNOWN,0.7477,True,aleju,1.0000,aleju,0.9953,False,aleju,0.8514,UNKNOWN,0.2825,True,aleju,1.0000,aleju,0.6941,False,16.4938,1.0957,0.6003,1.0957,0.5638,3.2167,0.3669,0.0014,0.5993,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_control_flow_20260423_542f
