run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
dead_code_20260406_0899,2026-04-06T11:21:23.034572,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused variable assignments with generic names (e.g. _tmp, _unused, _val). Insert no-op statements like redundant reassignmen",aleju,check_heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_0c74\modified_check_heatmaps.py,ollama/qwen3.5:9b,aleju,0.9939,UNKNOWN,0.7248,True,aleju,1.0000,aleju,0.9997,False,aleju,0.8646,UNKNOWN,0.6152,True,aleju,0.9999,aleju,0.9528,False,9.2193,1.2104,0.7325,1.2104,0.5495,0.8333,0.3292,0.0008,0.6313,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_dead_code_20260406_0c74
dead_code_20260406_1f16,2026-04-06T11:27:03.205664,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused variable assignments with generic names (e.g. _tmp, _unused, _val). Insert no-op statements like redundant reassignmen",aleju,check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_0c74\modified_check_impulse_noise.py,ollama/qwen3.5:9b,aleju,0.9938,aleju,0.9738,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8636,False,aleju,0.9992,aleju,0.9991,False,0.6173,0.1306,0.0085,0.1306,0.0454,0.1917,0.0444,0.0001,0.0512,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260406_0c74
dead_code_20260406_f52f,2026-04-06T11:27:46.885390,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused variable assignments with generic names (e.g. _tmp, _unused, _val). Insert no-op statements like redundant reassignmen",aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_0c74\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:9b,aleju,0.9952,aleju,0.9753,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9268,aleju,0.9049,False,aleju,1.0000,aleju,1.0000,False,2.3742,0.4341,0.0942,0.4341,0.0635,0.4750,0.3200,0.0002,0.1722,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260406_0c74
dead_code_20260406_b928,2026-04-06T11:30:21.277460,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused variable assignments with generic names (e.g. _tmp, _unused, _val). Insert no-op statements like redundant reassignmen",aleju,heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_0c74\modified_heatmaps.py,ollama/qwen3.5:9b,aleju,0.8877,UNKNOWN,0.7015,True,aleju,1.0000,aleju,0.7457,False,aleju,0.8515,UNKNOWN,0.2949,True,aleju,1.0000,UNKNOWN,0.6186,True,19.0119,1.0728,0.5754,1.0728,0.4739,4.0000,0.2237,0.0016,0.5754,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_dead_code_20260406_0c74
dead_code_20260406_c067,2026-04-06T11:30:56.053952,,dead_code,"Inject dead code into this Python file to disguise the author's style. Add unused variable assignments with generic names (e.g. _tmp, _unused, _val). Insert no-op statements like redundant reassignmen",aleju,multicore.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\multicore.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_0c74\modified_multicore.py,ollama/qwen3.5:9b,aleju,0.7594,aleju,0.5096,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8134,aleju,0.8626,False,aleju,0.9998,aleju,0.9990,False,14.8602,1.1955,0.7146,1.1955,0.5871,2.5500,0.4106,0.0012,0.6369,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260406_0c74
dead_code_20260406_ef9d,2026-04-06T11:35:06.097465,,dead_code,"Since Naive Bayes and NN failed, target TF-IDF sensitive features. These changes shift token distributions without structural changes. Use DEAD CODE techniques minimally to evade models. Insert unreac",aleju,check_heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_5520\modified_check_heatmaps.py,ollama/qwen3.5:9b,aleju,0.9939,aleju,0.9498,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8646,aleju,0.8479,False,aleju,0.9999,aleju,0.9997,False,1.2904,0.1729,0.0150,0.1729,0.0269,0.3500,0.1159,0.0001,0.0625,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260406_5520
dead_code_20260406_7be7,2026-04-06T11:35:45.718493,,dead_code,"Since Naive Bayes and NN failed, target TF-IDF sensitive features. These changes shift token distributions without structural changes. Use DEAD CODE techniques minimally to evade models. Insert unreac",aleju,check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_5520\modified_check_impulse_noise.py,ollama/qwen3.5:9b,aleju,0.9938,aleju,0.9890,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8660,False,aleju,0.9992,aleju,0.9991,False,0.1980,0.0679,0.0023,0.0679,0.0168,0.0667,0.0328,0.0000,0.0246,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260406_5520
dead_code_20260406_87a4,2026-04-06T11:36:16.813023,,dead_code,"Since Naive Bayes and NN failed, target TF-IDF sensitive features. These changes shift token distributions without structural changes. Use DEAD CODE techniques minimally to evade models. Insert unreac",aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_5520\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:9b,aleju,0.9952,aleju,0.9952,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9268,aleju,0.9266,False,aleju,1.0000,aleju,1.0000,False,0.0929,0.0545,0.0015,0.0545,0.0035,0.0250,0.0505,0.0000,0.0176,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_dead_code_20260406_5520
dead_code_20260406_638b,2026-04-06T11:42:00.089713,,dead_code,"Since Naive Bayes and NN failed, target TF-IDF sensitive features. These changes shift token distributions without structural changes. Use DEAD CODE techniques minimally to evade models. Insert unreac",aleju,heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_5520\modified_heatmaps.py,ollama/qwen3.5:9b,aleju,0.8877,UNKNOWN,0.7020,True,aleju,1.0000,aleju,0.9999,False,aleju,0.8515,UNKNOWN,0.6085,True,aleju,1.0000,aleju,0.9723,False,14.9533,1.0339,0.5345,1.0339,0.4980,3.1000,0.4271,0.0012,0.5661,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_dead_code_20260406_5520
dead_code_20260406_6ef9,2026-04-06T11:42:30.549077,,dead_code,"Since Naive Bayes and NN failed, target TF-IDF sensitive features. These changes shift token distributions without structural changes. Use DEAD CODE techniques minimally to evade models. Insert unreac",aleju,multicore.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\multicore.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_dead_code_20260406_5520\modified_multicore.py,ollama/qwen3.5:9b,aleju,0.7594,UNKNOWN,0.6692,True,aleju,1.0000,UNKNOWN,0.6221,True,aleju,0.8134,UNKNOWN,0.3832,True,aleju,0.9998,UNKNOWN,0.4814,True,17.1727,1.1504,0.6617,1.1504,0.4565,2.9917,0.4106,0.0014,0.5958,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_dead_code_20260406_5520
