run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
formatting_20260423_2925,2026-04-23T21:46:50.693556,,formatting,"Reformat this Python file to disguise the author's style. Change indentation width, line lengths, blank line usage, and whitespace around operators. Do NOT rename variables, change comments, restructu",aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_828e\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9123,False,aleju,1.0000,aleju,1.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_formatting_20260423_828e
formatting_20260423_f882,2026-04-23T21:51:15.603354,,formatting,"Reformat this Python file to disguise the author's style. Change indentation width, line lengths, blank line usage, and whitespace around operators. Do NOT rename variables, change comments, restructu",aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_828e\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:4b,aleju,0.9952,aleju,0.9952,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9268,aleju,0.9268,False,aleju,1.0000,aleju,1.0000,False,0.0057,0.0031,0.0000,0.0031,0.0000,0.0000,0.0028,0.0000,0.0009,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_formatting_20260423_828e
formatting_20260423_2d2a,2026-04-23T21:51:37.492430,,formatting,"Reformat this Python file to disguise the author's style. Change indentation width, line lengths, blank line usage, and whitespace around operators. Do NOT rename variables, change comments, restructu",aleju,dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_828e\modified_dtypes.py,ollama/qwen3.5:4b,aleju,0.8059,UNKNOWN,0.7526,True,aleju,1.0000,aleju,0.9964,False,aleju,0.8153,UNKNOWN,0.3860,True,aleju,0.9998,aleju,0.9326,False,10.2941,0.9553,0.4563,0.9553,0.4836,1.8500,0.4314,0.0009,0.5239,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_formatting_20260423_828e
formatting_20260423_92f2,2026-04-23T21:52:03.609603,,formatting,"Reformat this Python file to disguise the author's style. Change indentation width, line lengths, blank line usage, and whitespace around operators. Do NOT rename variables, change comments, restructu",aleju,kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\kps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_828e\modified_kps.py,ollama/qwen3.5:4b,aleju,0.9487,UNKNOWN,0.6810,True,aleju,1.0000,aleju,0.9999,False,aleju,0.8514,UNKNOWN,0.5903,True,aleju,1.0000,aleju,0.9781,False,17.2531,1.1066,0.6123,1.1066,0.5307,3.3500,0.3669,0.0014,0.5965,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_formatting_20260423_828e
formatting_20260423_b7dc,2026-04-23T21:53:56.082730,,formatting,Apply targeted line length variations and operator spacing changes to disrupt the token distributions relied upon by Naive Bayes and Neural Network classifiers. Adjust indentation patterns and bracket,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_ab41\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9125,False,aleju,1.0000,aleju,1.0000,False,0.0105,0.0050,0.0000,0.0050,0.0000,0.0000,0.0049,0.0000,0.0015,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_formatting_20260423_ab41
formatting_20260423_9a1d,2026-04-23T21:54:30.798703,,formatting,Apply targeted line length variations and operator spacing changes to disrupt the token distributions relied upon by Naive Bayes and Neural Network classifiers. Adjust indentation patterns and bracket,aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_ab41\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8812,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7855,False,aleju,0.9979,aleju,0.9977,False,1.2652,0.4583,0.1050,0.4583,0.0571,0.1667,0.2576,0.0001,0.1807,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_formatting_20260423_ab41
formatting_20260423_b545,2026-04-23T21:57:07.247884,,formatting,Apply targeted line length variations and operator spacing changes to disrupt the token distributions relied upon by Naive Bayes and Neural Network classifiers. Adjust indentation patterns and bracket,aleju,check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_multiply_hue_and_saturation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_ab41\modified_check_multiply_hue_and_saturation.py,ollama/qwen3.5:4b,aleju,0.9952,UNKNOWN,0.7970,True,aleju,1.0000,UNKNOWN,0.9871,True,aleju,0.9268,UNKNOWN,0.6039,True,aleju,1.0000,UNKNOWN,0.9954,True,12.2562,1.4104,0.9946,1.4104,0.6785,1.1750,0.4409,0.0010,0.7364,low,100.0000,0.0000,4,100.0000,UNKNOWN,full_evasion,,batch=batch_formatting_20260423_ab41
formatting_20260423_15d6,2026-04-23T21:57:35.509368,,formatting,Apply targeted line length variations and operator spacing changes to disrupt the token distributions relied upon by Naive Bayes and Neural Network classifiers. Adjust indentation patterns and bracket,aleju,dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_ab41\modified_dtypes.py,ollama/qwen3.5:4b,aleju,0.8059,UNKNOWN,0.5053,True,aleju,1.0000,aleju,1.0000,False,aleju,0.8153,aleju,0.8822,False,aleju,0.9998,aleju,0.9994,False,13.1130,1.3643,0.9307,1.3643,0.6275,1.9083,0.5626,0.0011,0.7085,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_formatting_20260423_ab41
formatting_20260423_2163,2026-04-23T22:01:59.584450,,formatting,"To maximize evasion against the remaining models without altering the general document style, apply irregular whitespace patterns around specific operators and non-uniform line lengths to key function",aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_b8b9\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9705,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9123,False,aleju,1.0000,aleju,1.0000,False,0.0002,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_formatting_20260423_b8b9
formatting_20260423_0097,2026-04-23T22:03:31.667439,,formatting,"To maximize evasion against the remaining models without altering the general document style, apply irregular whitespace patterns around specific operators and non-uniform line lengths to key function",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_formatting_20260423_b8b9\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8170,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7943,False,aleju,0.9979,aleju,0.9979,False,0.4215,0.0931,0.0043,0.0931,0.0229,0.0667,0.0643,0.0000,0.0339,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_formatting_20260423_b8b9
