run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
type_hints_20260406_64b0,2026-04-06T16:21:50.937798,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_6db4\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.7561,True,aleju,1.0000,aleju,0.8697,False,aleju,0.8419,UNKNOWN,0.4043,True,aleju,1.0000,UNKNOWN,0.3198,True,16.6933,1.2975,0.8418,1.2975,0.6248,3.4333,0.7714,0.0014,0.6844,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_type_hints_20260406_6db4
type_hints_20260406_8aec,2026-04-06T16:22:06.052525,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_6db4\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.9410,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.9136,False,aleju,1.0000,aleju,0.9999,False,2.1095,0.3837,0.0736,0.3837,0.0739,0.2750,0.1870,0.0002,0.1525,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260406_6db4
type_hints_20260406_5fee,2026-04-06T16:22:26.805551,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_6db4\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8812,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7980,False,aleju,0.9979,aleju,0.9979,False,0.1645,0.0487,0.0012,0.0487,0.0106,0.0500,0.0283,0.0000,0.0172,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260406_6db4
type_hints_20260406_01fa,2026-04-06T16:24:40.014891,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_6db4\modified_poly_point_isect_py2py3.py,ollama/qwen3.5:4b,UNKNOWN,0.7294,UNKNOWN,0.7240,False,UNKNOWN,0.4881,UNKNOWN,0.8667,False,UNKNOWN,0.6334,UNKNOWN,0.2553,False,aleju,0.9987,UNKNOWN,0.9643,True,17.2149,1.3312,0.8860,1.3312,0.5902,2.1667,0.4019,0.0014,0.6882,low,25.0000,0.0000,1,25.0000,UNKNOWN,original_unknown,,batch=batch_type_hints_20260406_6db4
type_hints_20260406_ebb0,2026-04-06T16:29:00.997407,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_ced3\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.7402,True,aleju,1.0000,aleju,0.9990,False,aleju,0.8419,UNKNOWN,0.4203,True,aleju,1.0000,aleju,0.9064,False,18.1397,1.2708,0.8075,1.2708,0.6077,3.4833,0.4861,0.0015,0.6708,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_type_hints_20260406_ced3
type_hints_20260406_9fd9,2026-04-06T16:29:29.113911,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_average_blur.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_ced3\modified_check_average_blur.py,ollama/qwen3.5:4b,aleju,0.9658,aleju,0.9510,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9165,aleju,0.9138,False,aleju,1.0000,aleju,0.9999,False,2.0040,0.3788,0.0717,0.3788,0.0682,0.2583,0.1865,0.0002,0.1493,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260406_ced3
type_hints_20260406_a17a,2026-04-06T16:30:29.443856,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_ced3\modified_check_cartoon.py,ollama/qwen3.5:4b,aleju,0.8812,aleju,0.8514,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7953,False,aleju,0.9979,aleju,0.9978,False,0.2264,0.0540,0.0015,0.0540,0.0126,0.0667,0.0283,0.0000,0.0193,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260406_ced3
type_hints_20260406_421a,2026-04-06T16:31:19.478629,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,geometric.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\geometric.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_ced3\modified_geometric.py,ollama/qwen3.5:4b,aleju,0.9902,aleju,0.5445,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9075,aleju,0.8434,False,aleju,1.0000,aleju,0.9967,False,27.5239,1.2900,0.8321,1.2900,0.5990,6.2750,0.4219,0.0023,0.6820,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260406_ced3
type_hints_20260406_4429,2026-04-06T16:31:38.066105,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\poly_point_isect_py2py3.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_ced3\modified_poly_point_isect_py2py3.py,ollama/qwen3.5:4b,UNKNOWN,0.7294,UNKNOWN,0.7572,False,UNKNOWN,0.4881,UNKNOWN,0.8796,False,UNKNOWN,0.6334,UNKNOWN,0.2481,False,aleju,0.9987,UNKNOWN,0.2957,True,11.0157,1.2063,0.7275,1.2063,0.5501,1.4167,0.4612,0.0009,0.6311,low,25.0000,0.0000,1,25.0000,UNKNOWN,original_unknown,,batch=batch_type_hints_20260406_ced3
type_hints_20260406_72e6,2026-04-06T16:34:02.626500,,type_hints,"Apply exhaustive type annotations to all function parameters, return types, and local variables, ensuring concrete types like `List[int]` are used to maximize token diversity. Do not change import sty",aleju,bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\bbs.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260406_4056\modified_bbs.py,ollama/qwen3.5:4b,aleju,0.9119,UNKNOWN,0.7489,True,aleju,1.0000,aleju,0.8117,False,aleju,0.8419,UNKNOWN,0.2833,True,aleju,1.0000,UNKNOWN,0.3842,True,17.0033,1.4080,0.9913,1.4080,0.6879,3.4583,0.9743,0.0014,0.7419,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_type_hints_20260406_4056
