run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
type_hints_20260424_a6e1,2026-04-24T01:47:35.745186,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_e7dc\modified_arithmetic.py,ollama/qwen3.5:4b,aleju,0.9803,UNKNOWN,0.5272,True,aleju,1.0000,aleju,1.0000,False,aleju,0.9121,aleju,0.8361,False,aleju,1.0000,aleju,0.9918,False,25.4273,1.3118,0.8604,1.3118,0.6474,5.6083,0.4699,0.0021,0.6988,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_type_hints_20260424_e7dc
type_hints_20260424_7a07,2026-04-24T01:50:31.557078,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_e7dc\modified_check_impulse_noise.py,ollama/qwen3.5:4b,aleju,0.9938,aleju,0.9890,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8640,False,aleju,0.9992,aleju,0.9988,False,0.5611,0.1456,0.0106,0.1456,0.0487,0.1500,0.0912,0.0000,0.0569,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260424_e7dc
type_hints_20260424_e706,2026-04-24T01:51:05.079237,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_e7dc\modified_dtypes.py,ollama/qwen3.5:4b,aleju,0.8059,UNKNOWN,0.4665,True,aleju,1.0000,aleju,1.0000,False,aleju,0.8153,aleju,0.8254,False,aleju,0.9998,aleju,0.9996,False,13.4890,1.2758,0.8138,1.2758,0.5943,1.9917,0.4314,0.0011,0.6670,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_type_hints_20260424_e7dc
type_hints_20260424_6790,2026-04-24T01:51:25.883821,,type_hints,"Add type annotations to all function parameters, return types, and key variable assignments in this Python file. Import necessary types from the typing module. Do NOT rename, reformat, change comments",aleju,heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_e7dc\modified_heatmaps.py,ollama/qwen3.5:4b,aleju,0.8877,UNKNOWN,0.7033,True,aleju,1.0000,aleju,1.0000,False,aleju,0.8515,UNKNOWN,0.5267,True,aleju,1.0000,aleju,0.9736,False,14.4080,0.9230,0.4259,0.9230,0.4519,3.0833,0.2766,0.0012,0.5012,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_type_hints_20260424_e7dc
type_hints_20260424_34bb,2026-04-24T01:53:14.100658,,type_hints,Apply type annotations to function parameters and return types to alter the data structure expectations for Naive Bayes and Neural Network classifiers without renaming variables or altering control fl,aleju,arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_cddc\modified_arithmetic.py,ollama/qwen3.5:4b,aleju,0.9803,UNKNOWN,0.7046,True,aleju,1.0000,aleju,0.9829,False,aleju,0.9121,UNKNOWN,0.6364,True,aleju,1.0000,aleju,0.7913,False,25.3020,1.3233,0.8756,1.3233,0.6627,5.6000,0.5438,0.0021,0.7064,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_type_hints_20260424_cddc
type_hints_20260424_f792,2026-04-24T01:54:40.467132,,type_hints,Apply type annotations to function parameters and return types to alter the data structure expectations for Naive Bayes and Neural Network classifiers without renaming variables or altering control fl,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_cddc\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9312,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9022,False,aleju,1.0000,aleju,0.9999,False,6.1928,0.8121,0.3297,0.8121,0.2396,0.7000,0.2455,0.0005,0.3918,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260424_cddc
type_hints_20260424_429b,2026-04-24T01:55:02.392270,,type_hints,Apply type annotations to function parameters and return types to alter the data structure expectations for Naive Bayes and Neural Network classifiers without renaming variables or altering control fl,aleju,check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_impulse_noise.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_cddc\modified_check_impulse_noise.py,ollama/qwen3.5:4b,aleju,0.9938,aleju,0.9890,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8680,aleju,0.8648,False,aleju,0.9992,aleju,0.9989,False,0.4964,0.1297,0.0084,0.1297,0.0431,0.1417,0.0731,0.0000,0.0503,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260424_cddc
type_hints_20260424_fab1,2026-04-24T01:55:36.076303,,type_hints,Apply type annotations to function parameters and return types to alter the data structure expectations for Naive Bayes and Neural Network classifiers without renaming variables or altering control fl,aleju,dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\dtypes.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_cddc\modified_dtypes.py,ollama/qwen3.5:4b,aleju,0.8059,UNKNOWN,0.6314,True,aleju,1.0000,aleju,0.8617,False,aleju,0.8153,UNKNOWN,0.4982,True,aleju,0.9998,UNKNOWN,0.5977,True,15.8371,1.1269,0.6349,1.1269,0.4646,2.6833,0.3726,0.0013,0.5888,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_type_hints_20260424_cddc
type_hints_20260424_7558,2026-04-24T01:55:56.631607,,type_hints,Apply type annotations to function parameters and return types to alter the data structure expectations for Naive Bayes and Neural Network classifiers without renaming variables or altering control fl,aleju,heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\heatmaps.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_cddc\modified_heatmaps.py,ollama/qwen3.5:4b,aleju,0.8877,UNKNOWN,0.6878,True,aleju,1.0000,aleju,0.7915,False,aleju,0.8515,UNKNOWN,0.2625,True,aleju,1.0000,UNKNOWN,0.5524,True,18.1630,1.0854,0.5891,1.0854,0.4911,3.5750,0.2873,0.0015,0.5821,low,100.0000,25.0000,3,75.0000,UNKNOWN,strong_evasion,,batch=batch_type_hints_20260424_cddc
type_hints_20260424_9d05,2026-04-24T02:05:29.596775,,type_hints,Apply complex type annotations such as Union or Optional to function arguments and return values to alter static feature analysis for the resistant Naive Bayes model. Import the necessary typing class,aleju,check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_bb_augmentation.py,C:\Users\ees10\OneDrive\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_type_hints_20260424_0ac5\modified_check_bb_augmentation.py,ollama/qwen3.5:4b,aleju,0.9705,aleju,0.9656,False,aleju,1.0000,aleju,1.0000,False,aleju,0.9123,aleju,0.9055,False,aleju,1.0000,aleju,1.0000,False,4.3109,0.6031,0.1819,0.6031,0.0959,0.8917,0.2478,0.0004,0.2565,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_type_hints_20260424_0ac5
